//Fills rest of area with this tile (See tiles.txt)
fill:0
//Layer, TileID, X, Y
0,2,-10,-3
0,2,-9,-2
0,2,-9,-1
0,2,-8,0
0,2,-6,1
0,2,-7,1
0,2,-5,1
0,2,-2,1
0,2,-4,1
0,2,-3,1
0,2,-1,0
0,2,0,-2
0,2,1,-3
0,7,-7,-3
0,7,-7,-2
0,7,-7,-1
0,7,-2,-3
0,7,-2,-2
0,7,-11,1
0,7,-9,4
0,7,-6,5
0,7,-9,2
0,7,-9,3
0,7,-10,2
0,7,-1,4
0,7,1,3
0,7,-1,1
0,7,2,5
0,7,-2,5
0,7,0,3
0,7,0,2
0,7,0,4
0,8,5,-4
0,8,6,-4
0,8,7,-4
0,8,8,-4
0,9,5,-3
0,9,6,-3
0,9,7,-3
0,9,8,-3
0,2,0,-1
0,2,-7,-5
0,2,-2,-5
0,7,-2,-1
1,8,5,-7
1,8,6,-7
1,8,7,-7
1,8,8,-7
1,9,5,-6
1,9,6,-6
1,9,7,-6
1,9,8,-6
